Nome do Buteco,Endereço,Latitude,Longitude,Avaliação,Seg (Abertura),Seg (Fechamento),Ter (Abertura),Ter (Fechamento),Qua (Abertura),Qua (Fechamento),Qui (Abertura),Qui (Fechamento),Sex (Abertura),Sex (Fechamento),Sáb (Abertura),Sáb (Fechamento),Dom (Abertura),Dom (Fechamento)
COSMOS,"Rua Vicente Risola, 1305 - Santa Ines, Belo Horizonte - MG, 31080-160",-19876274,-43908000,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,01:00:00,18:00,01:00,16:00:00,22:00:00
Deck Boi na Brasa,"Rua Desembargador José Satyro, 302 | Castelo, Belo Horizonte - MG",-19858022,-44002824,,,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,14:00,00:00,14:00:00,22:00:00
Dona Dora,"Rua Rio de Janeiro, 1205 | Centro, Belo Horizonte - MG",-19920556,-43937778,,11:00:00,15:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00,23:00,,
Dona Ju Gastro Bar,"Estrada dos Borges, 1520 | Jardim Vitória, Belo Horizonte - MG",-19833513,-43882488,,,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,11:00:00,00:00:00,11:00,00:00,11:00:00,00:00:00
Dona Suica,"Rua João Samaha, 390 | São João Batista (Venda Nova), Belo Horizonte - MG",-19824706,-43964402,,,,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,12:00,23:00,12:00:00,22:00:00
Ember BBQ,"Rua São Romão, 460 | São Pedro, Belo Horizonte - MG",-19943141,-43931707,,11:30:00,15:30:00,11:30:00,23:30:00,11:30:00,23:30:00,11:30:00,23:30:00,11:30:00,23:30:00,11:30,23:30,11:30:00,17:30:00
Espetinho do Boi,"Rua São Paulo da Cruz, 357 | Barreiro, Belo Horizonte - MG",-19985925,-44000302,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00,00:00,,
Espetinhos do Paulão,"Rua Álvaro Mata, 466 | Belo Horizonte - MG",-19920364,-43944321,,,,17:00:00,23:30:00,17:00:00,23:30:00,17:00:00,23:30:00,17:00:00,23:30:00,14:00,23:30,14:00:00,19:00:00
Espettinho.com,"Rua Eli Seabra Filho, 510 | Buritis, Belo Horizonte - MG",-19980482,-43978500,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,01:00:00,13:00,01:00,13:00:00,22:00:00
Fogão de Minas,"Avenida Doutor Cristiano Guimarães, 1911 | Planalto, Belo Horizonte - MG",-19855018,-43956699,,11:00:00,15:00:00,11:00:00,15:00:00,11:00:00,15:00:00,11:00:00,15:00:00,11:00:00,15:00:00,11:00,16:00,11:00:00,16:00:00
Garagge Vintage,"Avenida Doutor Cristiano Guimarães, 1258 | Planalto, Belo Horizonte - MG",-19861750,-43960251,,,,,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,16:00,00:00,,
